filename id formula
325-Ir4O8 325 Ir4O8
326-Ir6O12 326 Ir6O12
327-Ir8O16 327 Ir8O16
328-Ir54O108 328 Ir54O108
329-Ir4O8 329 Ir4O8
330-Ir2O4 330 Ir2O4
331-Ir16O32 331 Ir16O32
332-Ir10O20 332 Ir10O20
333-Ir4O8 333 Ir4O8
334-Ir4O8 334 Ir4O8
335-Ir4O8 335 Ir4O8
336-Ir12O24 336 Ir12O24
337-Ir32O64 337 Ir32O64
338-Ir2O4 338 Ir2O4
339-Ir20O40 339 Ir20O40
340-Ir10O20 340 Ir10O20
341-Ir8O16 341 Ir8O16
342-Ir4O8 342 Ir4O8
343-Ir108O216 343 Ir108O216
344-Ir24O48 344 Ir24O48
345-Ir24O48 345 Ir24O48
346-Ir15O30 346 Ir15O30
347-Ir32O64 347 Ir32O64
348-Ir32O64 348 Ir32O64
349-Ir8O16 349 Ir8O16
350-Ir20O40 350 Ir20O40
351-Ir64O128 351 Ir64O128
352-Ir12O24 352 Ir12O24
353-Ir16O32 353 Ir16O32
354-Ir10O20 354 Ir10O20
355-Ir6O12 355 Ir6O12
356-Ir4O8 356 Ir4O8
357-Ir4O8 357 Ir4O8
358-Ir11O22 358 Ir11O22
359-Ir18O36 359 Ir18O36
360-Ir8O16 360 Ir8O16
361-Ir48O96 361 Ir48O96
362-Ir8O16 362 Ir8O16
363-Ir8O16 363 Ir8O16
364-Ir24O48 364 Ir24O48
365-Ir5O10 365 Ir5O10
366-Ir2O4 366 Ir2O4
367-IrO2 367 IrO2
368-Ir10O20 368 Ir10O20
369-Ir18O36 369 Ir18O36
370-Ir8O16 370 Ir8O16
371-Ir16O32 371 Ir16O32
372-Ir2O4 372 Ir2O4
373-Ir17O34 373 Ir17O34
374-Ir2O4 374 Ir2O4
375-Ir8O16 375 Ir8O16
376-Ir8O16 376 Ir8O16
377-Ir10O20 377 Ir10O20
378-Ir4O8 378 Ir4O8
379-Ir6O12 379 Ir6O12
380-Ir20O40 380 Ir20O40
381-Ir6O12 381 Ir6O12
382-Ir4O8 382 Ir4O8
383-Ir8O16 383 Ir8O16
384-Ir16O32 384 Ir16O32
385-Ir12O24 385 Ir12O24
386-Ir36O72 386 Ir36O72
387-Ir2O4 387 Ir2O4
388-Ir18O36 388 Ir18O36
389-IrO2 389 IrO2
390-Ir36O72 390 Ir36O72
391-Ir8O16 391 Ir8O16
392-Ir4O8 392 Ir4O8
393-Ir6O12 393 Ir6O12
394-Ir2O4 394 Ir2O4
395-Ir20O40 395 Ir20O40
396-Ir13O26 396 Ir13O26
397-Ir96O192 397 Ir96O192
398-Ir48O96 398 Ir48O96
399-Ir64O128 399 Ir64O128
400-Ir20O40 400 Ir20O40
401-Ir3O6 401 Ir3O6
402-Ir3O6 402 Ir3O6
403-Ir48O96 403 Ir48O96
404-Ir16O32 404 Ir16O32
405-Ir4O8 405 Ir4O8
406-Ir20O40 406 Ir20O40
407-Ir48O96 407 Ir48O96
408-Ir6O12 408 Ir6O12
409-Ir8O16 409 Ir8O16
410-Ir8O16 410 Ir8O16
411-Ir72O144 411 Ir72O144
412-Ir28O56 412 Ir28O56
413-Ir24O48 413 Ir24O48
414-Ir32O64 414 Ir32O64
415-Ir18O36 415 Ir18O36
416-Ir8O16 416 Ir8O16
417-Ir4O8 417 Ir4O8
418-Ir3O6 418 Ir3O6
419-Ir15O30 419 Ir15O30
420-Ir16O32 420 Ir16O32
421-Ir48O96 421 Ir48O96
422-Ir36O72 422 Ir36O72
423-Ir4O8 423 Ir4O8
424-Ir9O18 424 Ir9O18
425-Ir3O6 425 Ir3O6
426-Ir2O4 426 Ir2O4
427-Ir32O64 427 Ir32O64
428-Ir4O8 428 Ir4O8
429-Ir56O112 429 Ir56O112
430-Ir48O96 430 Ir48O96
431-Ir12O24 431 Ir12O24
432-Ir24O48 432 Ir24O48
433-Ir32O64 433 Ir32O64
434-Ir8O16 434 Ir8O16
435-Ir20O40 435 Ir20O40
436-Ir10O20 436 Ir10O20
437-Ir16O32 437 Ir16O32
438-IrO2 438 IrO2
439-Ir64O128 439 Ir64O128
440-Ir2O4 440 Ir2O4
441-Ir32O64 441 Ir32O64
442-Ir12O24 442 Ir12O24
443-Ir18O36 443 Ir18O36
444-Ir11O22 444 Ir11O22
445-Ir8O16 445 Ir8O16
446-Ir64O128 446 Ir64O128
447-Ir32O64 447 Ir32O64
448-Ir19O38 448 Ir19O38
449-Ir9O18 449 Ir9O18
450-Ir2O4 450 Ir2O4
451-Ir32O64 451 Ir32O64
452-Ir8O16 452 Ir8O16
453-Ir12O24 453 Ir12O24
454-Ir2O4 454 Ir2O4
455-Ir24O48 455 Ir24O48
456-Ir48O96 456 Ir48O96
457-Ir16O32 457 Ir16O32
458-Ir54O108 458 Ir54O108
459-Ir4O8 459 Ir4O8
460-IrO2 460 IrO2
461-Ir4O8 461 Ir4O8
462-Ir18O36 462 Ir18O36
463-Ir14O28 463 Ir14O28
464-Ir4O8 464 Ir4O8
465-Ir136O272 465 Ir136O272
466-Ir48O96 466 Ir48O96
467-Ir8O16 467 Ir8O16
468-Ir8O16 468 Ir8O16
469-Ir4O8 469 Ir4O8
470-Ir32O64 470 Ir32O64
471-Ir12O24 471 Ir12O24
472-Ir4O8 472 Ir4O8
473-Ir8O16 473 Ir8O16
474-Ir8O16 474 Ir8O16
475-Ir24O48 475 Ir24O48
476-Ir8O16 476 Ir8O16
477-Ir8O16 477 Ir8O16
478-Ir16O32 478 Ir16O32
479-Ir10O20 479 Ir10O20
480-Ir6O12 480 Ir6O12
481-Ir4O8 481 Ir4O8
482-Ir32O64 482 Ir32O64
483-Ir18O36 483 Ir18O36
484-Ir8O16 484 Ir8O16
485-Ir4O8 485 Ir4O8
486-Ir4O8 486 Ir4O8
487-Ir16O32 487 Ir16O32
488-Ir2O4 488 Ir2O4
489-Ir32O64 489 Ir32O64
490-Ir4O8 490 Ir4O8
491-Ir56O112 491 Ir56O112
492-Ir17O34 492 Ir17O34
493-Ir15O30 493 Ir15O30
494-Ir48O96 494 Ir48O96
495-Ir14O28 495 Ir14O28
496-Ir12O24 496 Ir12O24
497-Ir7O14 497 Ir7O14
498-Ir12O24 498 Ir12O24
499-Ir12O24 499 Ir12O24
500-Ir4O8 500 Ir4O8
501-Ir4O8 501 Ir4O8
502-Ir12O24 502 Ir12O24
503-Ir8O16 503 Ir8O16
504-Ir56O112 504 Ir56O112
505-Ir64O128 505 Ir64O128
506-Ir56O112 506 Ir56O112
507-Ir2O4 507 Ir2O4
508-Ir4O8 508 Ir4O8
509-Ir16O32 509 Ir16O32
510-Ir4O8 510 Ir4O8
511-Ir2O4 511 Ir2O4
512-Ir4O8 512 Ir4O8
513-Ir4O8 513 Ir4O8
514-Ir32O64 514 Ir32O64
515-IrO2 515 IrO2
516-Ir18O36 516 Ir18O36
