Prototype_ID,Energy,Uncertainty
10,0.484296034,0.594151675
50,0.496947473,0.285902159
257,0.505260909,0.466997115
99,0.509851962,0.637661586
194,0.512621062,0.273238361
179,0.515407689,0.646662786
103,0.528013592,0.459794658
233,0.53201105,0.612313056
33,0.548072184,0.777423812
21,0.554152392,0.303540759
82,0.554465437,0.447800306
176,0.558494624,0.782832454
49,0.561637096,0.234079156
143,0.561905133,0.45387059
203,0.566265325,0.433421464
243,0.574459855,0.642160672
130,0.582852124,0.707195396
197,0.60217941,0.605947387
34,0.607521938,0.786787637
7,0.610595518,0.601687567
209,0.611425717,0.564647279
183,0.612232184,0.642679308
74,0.613615531,0.238896166
20,0.618843494,0.527471865
91,0.623264561,0.135143103
125,0.626469445,0.701730539
150,0.651038947,0.344664513
59,0.655053338,0.354632622
119,0.660984489,0.456255478
177,0.675392793,0.102859665
214,0.677007394,0.521697584
41,0.679600104,0.080898676
107,0.682857694,0.210838815
228,0.685031448,0.117981491
73,0.685427942,0.085177147
171,0.691092748,0.749001584
172,0.691373827,0.744710291
105,0.693621218,0.767161193
53,0.695554862,0.794863291
173,0.697160037,0.744480059
100,0.698586475,0.787306588
42,0.715548406,0.648283181
148,0.71792302,0.107636879
22,0.725354996,0.036622098
189,0.726082849,0.648614415
81,0.731152652,0.070430809
258,0.734797767,0.769989463
85,0.741505095,0.01761317
220,0.745029796,0.65591748
35,0.75037818,0.067792686
8,0.750508426,0.653834895
96,0.760347922,0.009489133
262,0.760424158,0.009485589
104,0.760425799,0.009485547
263,0.762342866,0.009462473
67,0.775235932,0.609875581
3,0.788403048,0.791721996
252,0.79345137,0.798134902
180,0.814217611,0.798534301
165,0.818261626,0.798544368
92,0.81904002,0.798493348
111,0.841726987,0.797347393
256,0.841979971,0.786273596
5,0.84292855,0.074470853
83,0.890987147,0.075917846
18,0.902571402,0.122235577
251,0.920582691,0.066558253
62,0.921722597,0.069300647
2,0.941504271,0.336620307
140,0.941647639,0.568764627
114,0.94663727,0.059938901
139,0.947228756,0.079274203
106,0.980774417,0.559750912
79,0.984813869,0.059177434
23,0.986559578,0.287924258
154,0.986827398,0.080345529
137,1.010991973,0.360063532
147,1.024628198,0.749574009
230,1.033228067,0.272486098
29,1.046141863,0.053917014
76,1.064703626,0.121564152
234,1.06497488,0.121562196
152,1.067199455,0.120410378
1,1.068149721,0.271872142
15,1.075095817,0.034516714
36,1.080794791,0.577897769
101,1.087956058,0.028034497
155,1.09016756,0.397797877
200,1.111455575,0.021417795
240,1.12190994,0.020221107
158,1.124287578,0.020191896
46,1.124790215,0.019566728
163,1.130658709,0.020876525
52,1.134956272,0.017543503
206,1.139081384,0.104677911
246,1.149699501,0.014675003
19,1.156872535,0.020573549
11,1.159598286,0.062603074
236,1.162002242,0.106673324
145,1.169495122,0.020272916
37,1.173535636,0.062663616
124,1.177840962,0.010438643
66,1.177847633,0.106525758
229,1.179550734,0.015776227
78,1.183852424,0.01043506
175,1.185628544,0.00979396
219,1.190220404,0.009671082
199,1.190694077,0.009665897
43,1.191157053,0.009692109
259,1.192628266,0.009672162
210,1.192635897,0.009672265
30,1.196346401,0.14086556
70,1.197665834,0.142201655
56,1.214694567,0.118470561
144,1.222910008,0.160578923
51,1.231506249,0.144019697
90,1.26667698,0.33724738
241,1.294044549,0.094721727
213,1.511360323,0.486473129
